codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD010001,NOM_PROD010001,DES_PROD010001,4,2,351,5,5068,0,4402,15.15,S,333,421,A
PROD010002,NOM_PROD010002,DES_PROD010002,2,3,197,2,3805,0,3358,13.33,N,187,236,A
PROD010003,NOM_PROD010003,DES_PROD010003,4,3,475,4,2621,0,2190,19.71,S,451,570,I
PROD010004,NOM_PROD010004,DES_PROD010004,2,2,341,1,2409,0,2143,12.42,N,323,409,A
PROD010005,NOM_PROD010005,DES_PROD010005,3,1,108,1,5071,0,4362,16.27,S,102,129,A
PROD010006,NOM_PROD010006,DES_PROD010006,5,3,445,4,2543,0,2265,12.31,S,422,534,I
PROD010007,NOM_PROD010007,DES_PROD010007,2,2,481,4,3456,0,3113,11.04,S,456,577,I
PROD010008,NOM_PROD010008,DES_PROD010008,1,3,1,5,2406,0,2121,13.47,N,0,1,A
PROD010009,NOM_PROD010009,DES_PROD010009,1,3,390,1,2860,0,2392,19.6,S,370,468,A
PROD010010,NOM_PROD010010,DES_PROD010010,5,3,456,5,5621,0,4769,17.87,N,433,547,A
PROD010011,NOM_PROD010011,DES_PROD010011,4,3,1,1,2332,0,2066,12.91,N,0,1,A
PROD010012,NOM_PROD010012,DES_PROD010012,2,1,377,4,4600,0,4072,12.97,S,358,452,I
PROD010013,NOM_PROD010013,DES_PROD010013,2,3,392,4,4453,0,3851,15.64,S,372,470,I
PROD010014,NOM_PROD010014,DES_PROD010014,4,1,197,1,4584,0,3946,16.18,S,187,236,I
PROD010015,NOM_PROD010015,DES_PROD010015,2,1,428,1,3320,0,2944,12.78,S,406,513,I
PROD010016,NOM_PROD010016,DES_PROD010016,3,2,157,5,5087,0,4578,11.13,S,149,188,I
PROD010017,NOM_PROD010017,DES_PROD010017,4,1,15,3,2592,0,2174,19.25,S,14,18,I
PROD010018,NOM_PROD010018,DES_PROD010018,1,1,460,1,3792,0,3342,13.47,S,437,552,I
PROD010019,NOM_PROD010019,DES_PROD010019,2,3,286,4,5088,0,4362,16.66,S,271,343,A
PROD010020,NOM_PROD010020,DES_PROD010020,5,1,156,4,2279,0,1909,19.41,S,148,187,A
PROD010021,NOM_PROD010021,DES_PROD010021,4,1,66,3,4419,0,3947,11.96,N,62,79,A
PROD010022,NOM_PROD010022,DES_PROD010022,1,1,91,2,2598,0,2242,15.9,S,86,109,A
PROD010023,NOM_PROD010023,DES_PROD010023,1,1,430,1,3152,0,2685,17.41,N,408,516,A
PROD010024,NOM_PROD010024,DES_PROD010024,5,3,405,2,3955,0,3439,15.02,S,384,486,A
PROD010025,NOM_PROD010025,DES_PROD010025,4,3,201,3,4589,0,4150,10.6,N,190,241,A
PROD010026,NOM_PROD010026,DES_PROD010026,1,2,300,4,4987,0,4189,19.06,N,285,360,I
PROD010027,NOM_PROD010027,DES_PROD010027,2,2,415,3,2322,0,2103,10.43,S,394,498,I
PROD010028,NOM_PROD010028,DES_PROD010028,1,3,164,2,4704,0,4175,12.69,S,155,196,A
PROD010029,NOM_PROD010029,DES_PROD010029,3,2,492,1,5295,0,4564,16.02,S,467,590,A
PROD010030,NOM_PROD010030,DES_PROD010030,4,3,220,1,3152,0,2717,16.02,N,209,264,I
PROD010031,NOM_PROD010031,DES_PROD010031,3,2,353,2,4904,0,4449,10.23,S,335,423,I
PROD010032,NOM_PROD010032,DES_PROD010032,3,1,421,5,5625,0,4734,18.83,S,399,505,A
PROD010033,NOM_PROD010033,DES_PROD010033,3,3,109,3,4564,0,3885,17.48,N,103,130,A
PROD010034,NOM_PROD010034,DES_PROD010034,4,3,344,1,4572,0,4032,13.41,S,326,412,A
PROD010035,NOM_PROD010035,DES_PROD010035,5,3,343,3,5194,0,4613,12.61,N,325,411,I
PROD010036,NOM_PROD010036,DES_PROD010036,4,2,219,1,3314,0,2904,14.12,N,208,262,A
PROD010037,NOM_PROD010037,DES_PROD010037,3,3,303,4,5543,0,4694,18.1,N,287,363,I
PROD010038,NOM_PROD010038,DES_PROD010038,1,1,403,1,4847,0,4161,16.5,S,382,483,I
PROD010039,NOM_PROD010039,DES_PROD010039,5,1,457,4,4790,0,4067,17.79,N,434,548,I
PROD010040,NOM_PROD010040,DES_PROD010040,2,2,18,2,2980,0,2667,11.76,S,17,21,A
PROD010041,NOM_PROD010041,DES_PROD010041,5,2,112,1,4304,0,3747,14.88,S,106,134,A
PROD010042,NOM_PROD010042,DES_PROD010042,4,3,282,3,4793,0,4003,19.75,N,267,338,A
PROD010043,NOM_PROD010043,DES_PROD010043,3,2,34,5,4047,0,3623,11.71,S,32,40,A
PROD010044,NOM_PROD010044,DES_PROD010044,2,3,304,4,2281,0,1924,18.6,N,288,364,A
PROD010045,NOM_PROD010045,DES_PROD010045,3,1,303,4,2322,0,2072,12.09,N,287,363,A
PROD010046,NOM_PROD010046,DES_PROD010046,3,1,307,1,5541,0,4742,16.86,S,291,368,A
PROD010047,NOM_PROD010047,DES_PROD010047,4,2,157,3,4264,0,3679,15.92,S,149,188,I
PROD010048,NOM_PROD010048,DES_PROD010048,4,1,341,3,4280,0,3671,16.61,S,323,409,A
PROD010049,NOM_PROD010049,DES_PROD010049,2,1,214,2,2744,0,2337,17.44,N,203,256,A
PROD010050,NOM_PROD010050,DES_PROD010050,5,3,465,4,5543,0,4774,16.12,N,441,558,A
PROD010051,NOM_PROD010051,DES_PROD010051,4,3,405,3,5048,0,4512,11.89,S,384,486,I
PROD010052,NOM_PROD010052,DES_PROD010052,2,2,398,3,4471,0,3858,15.89,N,378,477,I
PROD010053,NOM_PROD010053,DES_PROD010053,1,1,50,5,4469,0,3930,13.74,S,47,60,I
PROD010054,NOM_PROD010054,DES_PROD010054,2,2,140,2,4325,0,3869,11.79,S,133,168,I
PROD010055,NOM_PROD010055,DES_PROD010055,2,3,499,3,2618,0,2334,12.18,N,474,598,A
PROD010056,NOM_PROD010056,DES_PROD010056,4,2,311,1,4298,0,3883,10.7,S,295,373,I
PROD010057,NOM_PROD010057,DES_PROD010057,3,2,74,5,2874,0,2400,19.78,S,70,88,A
PROD010058,NOM_PROD010058,DES_PROD010058,2,1,282,3,2991,0,2627,13.86,N,267,338,I
PROD010059,NOM_PROD010059,DES_PROD010059,4,3,23,3,3496,0,2971,17.68,N,21,27,A
PROD010060,NOM_PROD010060,DES_PROD010060,2,2,193,5,3193,0,2693,18.58,S,183,231,I
PROD010061,NOM_PROD010061,DES_PROD010061,4,3,321,2,4135,0,3707,11.55,S,304,385,A
PROD010062,NOM_PROD010062,DES_PROD010062,3,1,156,4,5276,0,4528,16.53,S,148,187,I
PROD010063,NOM_PROD010063,DES_PROD010063,5,1,14,1,5131,0,4564,12.44,S,13,16,A
PROD010064,NOM_PROD010064,DES_PROD010064,1,2,149,2,4015,0,3432,17.0,N,141,178,I
PROD010065,NOM_PROD010065,DES_PROD010065,3,2,343,2,2775,0,2454,13.12,S,325,411,I
PROD010066,NOM_PROD010066,DES_PROD010066,3,1,317,3,3242,0,2905,11.61,N,301,380,A
PROD010067,NOM_PROD010067,DES_PROD010067,5,3,186,4,2280,0,1971,15.69,S,176,223,A
PROD010068,NOM_PROD010068,DES_PROD010068,1,1,406,1,3893,0,3424,13.7,N,385,487,A
PROD010069,NOM_PROD010069,DES_PROD010069,4,3,415,4,2317,0,1990,16.46,S,394,498,I
PROD010070,NOM_PROD010070,DES_PROD010070,2,2,129,3,2694,0,2267,18.84,S,122,154,A
PROD010071,NOM_PROD010071,DES_PROD010071,2,2,473,4,3686,0,3158,16.73,N,449,567,I
PROD010072,NOM_PROD010072,DES_PROD010072,2,2,378,2,5459,0,4828,13.09,N,359,453,A
PROD010073,NOM_PROD010073,DES_PROD010073,5,3,410,5,3720,0,3219,15.58,N,389,492,A
PROD010074,NOM_PROD010074,DES_PROD010074,2,1,55,4,5756,0,4869,18.22,N,52,66,A
PROD010075,NOM_PROD010075,DES_PROD010075,2,1,274,1,3271,0,2946,11.04,S,260,328,A
PROD010076,NOM_PROD010076,DES_PROD010076,4,3,242,4,4049,0,3488,16.1,N,229,290,A
PROD010077,NOM_PROD010077,DES_PROD010077,4,1,176,3,5098,0,4625,10.24,S,167,211,I
PROD010078,NOM_PROD010078,DES_PROD010078,3,3,290,4,2404,0,2094,14.83,S,275,348,A
PROD010079,NOM_PROD010079,DES_PROD010079,2,2,324,4,4802,0,4314,11.33,S,307,388,A
PROD010080,NOM_PROD010080,DES_PROD010080,4,2,179,2,5554,0,4817,15.32,N,170,214,A
PROD010081,NOM_PROD010081,DES_PROD010081,4,1,439,1,3987,0,3498,14.0,N,417,526,I
PROD010082,NOM_PROD010082,DES_PROD010082,4,2,426,5,3663,0,3155,16.13,S,404,511,A
PROD010083,NOM_PROD010083,DES_PROD010083,5,1,235,3,4343,0,3944,10.13,N,223,282,I
PROD010084,NOM_PROD010084,DES_PROD010084,4,2,299,1,5060,0,4300,17.69,S,284,358,A
PROD010085,NOM_PROD010085,DES_PROD010085,4,2,357,4,5723,0,4826,18.59,S,339,428,A
PROD010086,NOM_PROD010086,DES_PROD010086,5,3,172,4,2831,0,2476,14.35,S,163,206,A
PROD010087,NOM_PROD010087,DES_PROD010087,4,2,359,2,3532,0,3150,12.14,S,341,430,A
PROD010088,NOM_PROD010088,DES_PROD010088,3,2,27,5,3328,0,2921,13.95,S,25,32,I
PROD010089,NOM_PROD010089,DES_PROD010089,3,2,428,3,4635,0,4143,11.89,S,406,513,A
PROD010090,NOM_PROD010090,DES_PROD010090,4,3,71,4,4450,0,3870,15.01,S,67,85,A
PROD010091,NOM_PROD010091,DES_PROD010091,5,3,11,1,4074,0,3595,13.35,S,10,13,A
PROD010092,NOM_PROD010092,DES_PROD010092,3,1,106,1,3288,0,2911,12.97,N,100,127,I
PROD010093,NOM_PROD010093,DES_PROD010093,4,1,333,3,2490,0,2263,10.07,N,316,399,A
PROD010094,NOM_PROD010094,DES_PROD010094,2,2,449,3,5130,0,4550,12.75,N,426,538,A
PROD010095,NOM_PROD010095,DES_PROD010095,3,2,319,3,3057,0,2636,16.0,S,303,382,I
PROD010096,NOM_PROD010096,DES_PROD010096,3,2,174,4,2572,0,2275,13.09,N,165,208,A
PROD010097,NOM_PROD010097,DES_PROD010097,1,2,54,5,3617,0,3287,10.04,S,51,64,I
PROD010098,NOM_PROD010098,DES_PROD010098,1,3,460,3,3728,0,3376,10.44,N,437,552,A
PROD010099,NOM_PROD010099,DES_PROD010099,3,2,395,4,3003,0,2532,18.61,N,375,474,I
PROD010100,NOM_PROD010100,DES_PROD010100,1,2,480,1,3834,0,3368,13.85,S,456,576,A
PROD010101,NOM_PROD010101,DES_PROD010101,5,2,305,3,5451,0,4574,19.18,S,289,366,A
PROD010102,NOM_PROD010102,DES_PROD010102,2,2,6,1,3665,0,3273,11.98,N,5,7,A
PROD010103,NOM_PROD010103,DES_PROD010103,3,2,139,5,3472,0,3143,10.48,S,132,166,I
PROD010104,NOM_PROD010104,DES_PROD010104,1,3,367,1,4025,0,3577,12.55,N,348,440,A
PROD010105,NOM_PROD010105,DES_PROD010105,5,3,29,2,3211,0,2684,19.65,N,27,34,I
PROD010106,NOM_PROD010106,DES_PROD010106,3,2,410,5,4874,0,4315,12.96,N,389,492,A
PROD010107,NOM_PROD010107,DES_PROD010107,3,1,447,1,3880,0,3411,13.75,S,424,536,A
PROD010108,NOM_PROD010108,DES_PROD010108,2,3,113,5,5751,0,4969,15.74,S,107,135,I
PROD010109,NOM_PROD010109,DES_PROD010109,2,3,432,5,2275,0,2035,11.84,S,410,518,A
PROD010110,NOM_PROD010110,DES_PROD010110,3,3,152,4,2945,0,2555,15.3,S,144,182,I
PROD010111,NOM_PROD010111,DES_PROD010111,2,1,443,2,2533,0,2241,13.03,N,420,531,I
PROD010112,NOM_PROD010112,DES_PROD010112,4,2,92,3,3829,0,3448,11.07,S,87,110,A
PROD010113,NOM_PROD010113,DES_PROD010113,1,2,335,5,5804,0,4873,19.11,S,318,402,A
PROD010114,NOM_PROD010114,DES_PROD010114,5,3,282,4,3551,0,3018,17.69,N,267,338,A
PROD010115,NOM_PROD010115,DES_PROD010115,5,2,420,1,4224,0,3604,17.21,S,399,504,I
PROD010116,NOM_PROD010116,DES_PROD010116,3,2,135,3,5474,0,4704,16.39,S,128,162,A
PROD010117,NOM_PROD010117,DES_PROD010117,3,2,343,1,3882,0,3518,10.36,N,325,411,I
PROD010118,NOM_PROD010118,DES_PROD010118,5,2,383,2,5343,0,4645,15.04,S,363,459,I
PROD010119,NOM_PROD010119,DES_PROD010119,1,2,372,1,4192,0,3809,10.06,N,353,446,I
PROD010120,NOM_PROD010120,DES_PROD010120,1,2,360,2,3651,0,3238,12.76,S,342,432,A
PROD010121,NOM_PROD010121,DES_PROD010121,2,3,225,3,3941,0,3403,15.81,N,213,270,A
PROD010122,NOM_PROD010122,DES_PROD010122,3,3,148,5,5044,0,4397,14.73,S,140,177,A
PROD010123,NOM_PROD010123,DES_PROD010123,4,1,462,5,4238,0,3543,19.64,N,438,554,A
PROD010124,NOM_PROD010124,DES_PROD010124,3,2,193,5,4507,0,4032,11.79,N,183,231,A
PROD010125,NOM_PROD010125,DES_PROD010125,4,3,309,4,5662,0,4839,17.01,N,293,370,A
PROD010126,NOM_PROD010126,DES_PROD010126,5,3,270,3,3486,0,2918,19.47,N,256,324,I
PROD010127,NOM_PROD010127,DES_PROD010127,4,3,153,4,4465,0,3863,15.59,N,145,183,I
PROD010128,NOM_PROD010128,DES_PROD010128,2,2,158,1,4474,0,3961,12.97,N,150,189,A
PROD010129,NOM_PROD010129,DES_PROD010129,4,1,241,2,4674,0,4233,10.43,N,228,289,I
PROD010130,NOM_PROD010130,DES_PROD010130,3,3,500,4,5787,0,4824,19.98,S,475,600,I
PROD010131,NOM_PROD010131,DES_PROD010131,1,1,407,2,5006,0,4540,10.27,S,386,488,I
PROD010132,NOM_PROD010132,DES_PROD010132,3,2,326,3,5627,0,4740,18.72,N,309,391,I
PROD010133,NOM_PROD010133,DES_PROD010133,5,3,230,5,5319,0,4798,10.86,S,218,276,A
PROD010134,NOM_PROD010134,DES_PROD010134,2,1,365,4,5802,0,4991,16.25,N,346,438,A
PROD010135,NOM_PROD010135,DES_PROD010135,5,3,499,2,4493,0,3848,16.78,S,474,598,A
PROD010136,NOM_PROD010136,DES_PROD010136,3,1,105,5,3618,0,3242,11.6,N,99,126,I
PROD010137,NOM_PROD010137,DES_PROD010137,3,3,224,4,2896,0,2460,17.74,N,212,268,A
PROD010138,NOM_PROD010138,DES_PROD010138,5,1,145,3,2931,0,2471,18.62,N,137,174,A
PROD010139,NOM_PROD010139,DES_PROD010139,4,3,327,4,3090,0,2782,11.1,S,310,392,A
PROD010140,NOM_PROD010140,DES_PROD010140,1,3,246,5,3960,0,3468,14.19,S,233,295,A
PROD010141,NOM_PROD010141,DES_PROD010141,1,2,23,5,3795,0,3204,18.47,N,21,27,I
PROD010142,NOM_PROD010142,DES_PROD010142,1,2,50,2,4773,0,4029,18.48,S,47,60,I
PROD010143,NOM_PROD010143,DES_PROD010143,1,1,83,5,3236,0,2857,13.3,S,78,99,A
PROD010144,NOM_PROD010144,DES_PROD010144,2,3,357,2,4177,0,3670,13.82,N,339,428,A
PROD010145,NOM_PROD010145,DES_PROD010145,5,1,207,5,5761,0,4835,19.17,S,196,248,A
PROD010146,NOM_PROD010146,DES_PROD010146,1,2,216,2,3296,0,2809,17.37,N,205,259,A
PROD010147,NOM_PROD010147,DES_PROD010147,3,1,4,4,4366,0,3901,11.94,N,3,4,A
PROD010148,NOM_PROD010148,DES_PROD010148,3,2,224,2,5144,0,4443,15.79,S,212,268,I
PROD010149,NOM_PROD010149,DES_PROD010149,4,2,93,1,4464,0,3878,15.13,S,88,111,I
PROD010150,NOM_PROD010150,DES_PROD010150,4,1,491,4,5649,0,4744,19.08,S,466,589,I
PROD010151,NOM_PROD010151,DES_PROD010151,5,1,234,1,3494,0,3148,11.0,N,222,280,A
PROD010152,NOM_PROD010152,DES_PROD010152,2,3,60,4,2218,0,1921,15.5,S,57,72,I
PROD010153,NOM_PROD010153,DES_PROD010153,3,1,32,3,3909,0,3398,15.06,N,30,38,A
PROD010154,NOM_PROD010154,DES_PROD010154,1,3,202,5,5500,0,4812,14.31,N,191,242,A
PROD010155,NOM_PROD010155,DES_PROD010155,2,3,437,1,3197,0,2692,18.78,S,415,524,I
PROD010156,NOM_PROD010156,DES_PROD010156,5,2,330,2,3211,0,2877,11.63,S,313,396,I
PROD010157,NOM_PROD010157,DES_PROD010157,4,3,93,5,3892,0,3340,16.53,N,88,111,A
PROD010158,NOM_PROD010158,DES_PROD010158,2,2,191,3,4759,0,4156,14.53,N,181,229,A
PROD010159,NOM_PROD010159,DES_PROD010159,3,1,471,2,2470,0,2109,17.13,S,447,565,A
PROD010160,NOM_PROD010160,DES_PROD010160,1,2,457,5,3663,0,3321,10.32,N,434,548,A
PROD010161,NOM_PROD010161,DES_PROD010161,1,2,153,4,4050,0,3522,15.01,S,145,183,A
PROD010162,NOM_PROD010162,DES_PROD010162,1,2,152,4,5328,0,4792,11.2,N,144,182,A
PROD010163,NOM_PROD010163,DES_PROD010163,1,1,57,4,5577,0,4816,15.82,N,54,68,A
PROD010164,NOM_PROD010164,DES_PROD010164,3,3,75,4,4653,0,4055,14.75,N,71,90,A
PROD010165,NOM_PROD010165,DES_PROD010165,1,3,390,4,2437,0,2141,13.87,N,370,468,A
PROD010166,NOM_PROD010166,DES_PROD010166,2,2,434,1,4496,0,3829,17.42,N,412,520,A
PROD010167,NOM_PROD010167,DES_PROD010167,4,3,334,1,4701,0,3937,19.43,S,317,400,A
PROD010168,NOM_PROD010168,DES_PROD010168,5,1,22,5,4087,0,3583,14.09,S,20,26,A
PROD010169,NOM_PROD010169,DES_PROD010169,4,2,251,1,2673,0,2336,14.45,S,238,301,A
PROD010170,NOM_PROD010170,DES_PROD010170,5,3,472,4,2311,0,2033,13.72,S,448,566,I
