Archivo: 111120253.csv | Línea 2 | Errores: formato de código inválido (PROD02) | Datos: PROD02,NOM_PROD020002,DES_PROD020002,1,2,6,5,3022,0,2664,13.47,S,5,7,A
Archivo: 111120253.csv | Línea 3 | Errores: formato de código inválido (PROD03) | Datos: PROD03,NOM_PROD020003,DES_PROD020003,4,2,378,2,3189,0,2706,17.86,S,359,453,I
Archivo: 111120253.csv | Línea 4 | Errores: formato de código inválido (PROD04) | Datos: PROD04,NOM_PROD020004,DES_PROD020004,4,3,113,3,4897,0,4415,10.93,S,107,135,A
Archivo: 111120253.csv | Línea 5 | Errores: formato de código inválido (PROD05) | Datos: PROD05,NOM_PROD020005,DES_PROD020005,5,2,370,1,3627,0,3245,11.8,S,351,444,I
Archivo: 111120253.csv | Línea 6 | Errores: formato de código inválido (PROD16) | Datos: PROD16,NOM_PROD020006,DES_PROD020006,1,1,360,4,3949,0,3320,18.97,S,342,432,A
Archivo: 111120253.csv | Línea 7 | Errores: formato de código inválido (PROD020) | Datos: PROD020,NOM_PROD020007,DES_PROD020007,4,1,115,5,4013,0,3435,16.85,S,109,138,A
Archivo: 111120253.csv | Línea 8 | Errores: formato de código inválido (PROD02) | Datos: PROD02,NOM_PROD020008,DES_PROD020008,4,3,150,3,5188,0,4591,13.01,N,142,180,A
Archivo: 111120253.csv | Línea 9 | Errores: formato de código inválido (PROD02) | Datos: PROD02,NOM_PROD020009,DES_PROD020009,2,2,88,5,2185,0,1985,10.09,N,83,105,A
Archivo: 111120253.csv | Línea 10 | Errores: formato de código inválido (PROD020) | Datos: PROD020,NOM_PROD020010,DES_PROD020010,5,2,116,2,3392,0,3070,10.49,S,110,139,A
Archivo: 111120253.csv | Línea 11 | Errores: formato de código inválido (PROD020) | Datos: PROD020,NOM_PROD020011,DES_PROD020011,4,1,124,4,4012,0,3538,13.42,N,117,148,I
Archivo: 111120253.csv | Línea 12 | Errores: formato de código inválido (PROD020) | Datos: PROD020,NOM_PROD020012,DES_PROD020012,1,1,274,4,2809,0,2469,13.81,N,260,328,A
